tipo do objeto,maps-user,nome por extenso,sigla,nome,importar,código das escolas,CNES - Cadastro Nacional de Estabelecimentos de Saúde,endereço,nº,complemento,bairro,preposição,Distrito,Sub-prefeitura,CeP,município,UF,DDD,telefone,fax,e-mail,Nome do Contato,Cargo do contato,Site,CNPJ,Categoria 1,Categoria 2,Categoria 3,Categoria 4,Fonte,Link,Texto Link,Data,Fonte,Link,Texto link,Data,descrição,Referencia (links),Palavras-chave (nome do projeto),Palavras-chave,Palavras-chave (Distrito),Palavras-chave,Palavras-chave,Palavras-chave (Estado),Palavra-chave (Trilha 1/Igarassu),Palavra-chave (Trilha 1/Igirassu),Palavra-chave (Trilha 1/Igirassu),Palavra-chave (Trilha 4/Igirassu),público-alvo 1,público-alvo 2,público-alvo 3,público-alvo 4,público-alvo 5,público-alvo 6,Projeto,Área de abrangência,horário de funcionamento,código conselho tutelar,diretoria de ensino,situação de funcionamento,latitude,longitude,Código da Escola Municipal,Palavra-chave,Palavra-chave,Programas oferecidos (Contraturno),Programas Sócio educativos (1)
O,http://maps.mootiro.org/user/profile/347,A Pró-Visão Sociedade Campineira de Atendimento ao Deficiente Visual,,Pró-Visão Sociedade Campineira de Atendimento ao Deficiente Visual,sim,,,Avenida Antônio Carlos Sales Júnior,580,,Jardim Proença,na,Administração Regional 10,Região Sul,13100-410,Campinas,SP,19,3254-4648,,provisao@provisao.org.br,,,www.provisao.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSEMC (T) - Programa de atenção às pessoas com deficiência,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 10,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Associação Projeto Anhumas Quero-Quero,,Associação Projeto Anhumas Quero-Quero,sim,,,Rua Luís Arruda Camargo,81,,Jardim Santana,na,Administração Regional 3,Região Centro,13088-690,Campinas,SP,19,3386-0969,,projetoanhumas@yahoo.com.br,,,www.projetoanhumas.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Centro,Administração Regional 3,,,,crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Associação Pestalozzi de Campinas,,Associação Pestalozzi de Campinas,sim,,,Rua Alaíde Nascimento de Lemos,570,,Vila Lemos,na,Administração Regional 10,Região Sul,13100-453,Campinas,SP,19,3252-1023,,pestalozzi@feac.org.br,,,www.pestalozzicampinas.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSEMC (T) - Programa de atenção às pessoas com deficiência,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 10,,,,pessoas que convivem com deficiência,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Instituição Padre Haroldo Rahm,,Instituição Padre Haroldo Rahm,sim,,,Rua Doutor João Quirino do Nascimento,1601,,Jardim Boa Esperança,na,Administração Regional 2,Região Centro,13091-516,Campinas,SP,19,3794-2500,,padreharoldo@padreharoldo.org.br,,,www.padreharoldo.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos, PSEMC (T) - Comunidade terapêutica (Adolescente – Masculino), PSEMC (T) - Comunidade terapêutica - Masculino (Adulto), PSEMC (T) - Comunidade terapêutica - Feminino (Adulto), PSEAC - Serviço de acolhimento institucional para crianças e adolescentes - Casa de Passagem de 07 a 17 anos e 11 meses, PSEAC - Serviço de acolhimento institucional para crianças e adolescentes - Abrigo Especializado – Masculino, PSEAC - Serviço de acolhimento institucional para crianças e adolescentes - Abrigo Especializado – Feminino (19) 3794-2521",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Centro,Administração Regional 2,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Obra Social São João Bosco,,Obra Social São João Bosco,sim,,,Rua José Paulino,479,,Centro,na,Administração Regional 1,Região Centro,13013-000,Campinas,SP,19,3733-1040,,ossjb@ossjb.org.br,,,www.ossjb.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB – SCFV - Adolescentes e jovens de 15 a 24 anos, PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSEMC - PAEFI - I Atendimento especializado às Famílias, crianças e adolescentes que vivenciam violações de direitos, PSEMC - Potencialização do serviço de proteção social a adolescentes em cumprimento de medidas socioeducativas - Liberdade Assistida (LA)",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Centro,Administração Regional 1,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Movimento Assistencial Espírita Maria Rosa - Sopa do Grameiro,,Movimento Assistencial Espírita Maria Rosa - Sopa do Grameiro,sim,,,Rua Vicente Palombo,34,,Jardim Campineiro,na,Administração Regional 4,Região Norte,13082-380,Campinas,SP,19,3246-0894,,ongmaemariarosa@terra.com.br,,,www.maemariarosa.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB – PAIF - Potencialização do serviço de proteção e atendimento integral à família, PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB - SCFV - Centros de Convivência Inclusivos e Intergeracionais (19) 9341-9493",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Norte,Administração Regional 4,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Lar Dos Velhinhos de Campinas,,Lar Dos Velhinhos de Campinas,sim,,,Rua Irmã Maria Santa Paula Terrier,300,,Vila Proost de Souza,na,Administração Regional 11,Região Norte,13033-755,Campinas,SP,19, 3743-4300,,lvc@lardosvelhinhosdecampinas.org.br,,,www.lardosvelhinhosdecampinas.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSEAC - Serviço de acolhimento institucional para pessoas idosas - Abrigo - Grau de Dependência I, PSEAC - Serviço de acolhimento institucional para pessoas idosas - Abrigo - Grau de Dependência II",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Norte,Administração Regional 11,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Associação Beneficente dos 13 Pais,,Associação Beneficente dos 13 Pais,sim,,,Avenida Professora Ana Maria Silvestre Adade,77,,Parque das Universidades,no,Distrito Barão Geraldo,Região Norte,13086-130,Campinas,SP,19,3256-2525,,larcriancafeliz@larcriancafeliz.org.br,,,www.larcriancafeliz.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSEAC - Serviço de acolhimento institucional para crianças e adolescentes - Abrigo Institucional,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Norte,Barão Geraldo,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Lar Evangélico Alice de Oliveira,,Lar Evangélico Alice de Oliveira,sim,,,Rua Doutor Las Casas dos Santos,289,,São Bernardo,na,Administração Regional 6,Região Sul,13030-490,Campinas,SP,19,3203-4770 Jardim Eulina - 3242-7613 / 3203-4771,,aliceoliv@mpcnet.com.br,,,www.laralice.com.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSEAC - Serviço de acolhimento institucional para pessoas idosas - Abrigo - Grau de Dependência I,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 6,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Instituto de Educação Especial Recriar,,Instituto de Educação Especial Recriar,sim,,,Avenida Pascoal Celestino Soares,292,,Jardim Bonfim,na,Administração Regional 6,Região Sul,13032-540,Campinas,SP,19,3201-0962,,institutorecriar@ig.com.br / institutorecriar@gmail.com,,,www.institutorecriar.net,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSEMC (T) - Programa de atenção às pessoas com deficiência (19) 3385-4279,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 6,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Instituição Assistencial Dias da Cruz,,Instituição Assistencial Dias da Cruz,sim,,,Rua João Rodrigues Serra,451,,Jardim Eulina,na,Administração Regional 11,Região Norte,13063-240,Campinas,SP,19,3241-9393,,diasdacruz@feac.org.br,,,www.instituicaodiasdacruz.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB – SCFV - Adolescentes e jovens de 15 a 24 anos, PSB - SCFV - Centros de Convivência Inclusivos e Intergeracionais",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Norte,Administração Regional 11,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Associação de Educação do Homem de Amanhã - Guardinha,,Associação de Educação do Homem de Amanhã - Guardinha,sim,,,Avenida das Amoreiras,165,,Parque Itália,na,Administração Regional 6,Região Sul,13036-225,Campinas,SP,19,3772 9699,,guardinha@guardinha.org.br / diretoria@guardinha.org.br,,,www.guardinha.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSEAC - Serviço de acolhimento institucional para crianças e adolescentes - Abrigo Institucional, PSEAC - Serviço de acolhimento em famílias acolhedoras, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 6,,,,adolescentes (13-17),jovens (18-25),,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Grupo Primavera,,Grupo Primavera,sim,,,Rua Luiz Aristeo Nucci,30,,Jardim São Marcos,na,Administração Regional 4,Região Norte,13082-210,Campinas,SP,19,3246-0021,,gprimavera@gprimavera.org.br,,,www.gprimavera.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Norte,Administração Regional 4,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Fundação Orsa,,Fundação Orsa Campinas,sim,,,Rua Doutor Félix de Moraes Sales, 663/673 ,,Jardim Novo Campos Elíseos,na,Administração Regional 7,Região Sudoeste,13060-400,Campinas,SP,19,3223-1457,,formacaocampinas@fundacaoorsa.org.br,,,www.fundacaoorsa.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSB – SCFV - Adolescentes e jovens de 15 a 24 anos,,Campinas,sem ponto,Fundação,São Paulo,Rede Socioassistencial,Região Sudoeste,Administração Regional 7,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Fundação Síndrome de Down,,Fundação Síndrome de Down,sim,,,Rua José Antônio Marinho,430,,Jardim Santa Genebra,no,Distrito Barão Geraldo,Região Norte,13084-783,Campinas,SP,19,3289-2818,,secretaria@fsdown.org.br,,,www.fsdown.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSEMC (T) - Programa de atenção às pessoas com deficiência,,Campinas,sem ponto,Fundação,São Paulo,Rede Socioassistencial,Região Norte,Barão Geraldo,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Fundação Irmã Ruth de Maria Camargo Sampaio,FIRMACASA,Fundação Irmã Ruth de Maria Camargo Sampaio,sim,,,Rua Antônio de Mendonça,100,,Parque Maria Helena,no,Distrito Nova Aparecida,Região Norte,13067-844,Campinas,SP,19, 3828-0319,,firmacasa@terra.com.br,,,www.firmacasacampinas.com.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos,  (19) 3282-1513",,Campinas,sem ponto,Fundação,São Paulo,Rede Socioassistencial,Região Norte,Nova Aparecida,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Sociedade de Assistência à Fibrose Cística,FIBROCIS,Sociedade de Assistência à Fibrose Cística,sim,,,Rua Dom Pedro I,"470, sala 15, 20º andar",,Jardim Brasil,na,Administração Regional 4,Região Norte,13073-003,Campinas,SP,19, 3243-0877,,fibrocis@terra.com.br,,,www.fibrocis.com.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSB (T) - Serviço de ações complementares às pessoas em situação de fragilidades circunstanciais e emergenciais de apoio à saúde (19) 3722-0858,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Norte,Administração Regional 4,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Associação Franciscana de Assistência Social Coração de Maria,AFASCOM,Associação Franciscana de Assistência Social Coração de Maria,sim,,,Rua Barão de Jaguará,140,,Bosque,na,Administração Regional 1,Região Centro,13026-099,Campinas,SP,19, 2129-9931,,social@afascom.org.br,,,www.fcmaria.org.br,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSEMC – Atendimento domiciliar a Idosos com grau de Dependência II - Vítimas de violência doméstica, PSEMC - PAEFI – Atendimento especializado a Idosos e suas famílias que vivenciam violações de direitos, PSEMC - PAEFI - I Atendimento especializado às Famílias, crianças e adolescentes que vivenciam violações de direitos, PSEAC - Acolhimento institucional para pessoas idosas – Grau de Dependência I / Masculino, PSEAC- Acolhimento institucional para pessoas idosas – Grau de Dependência II / Masculino",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Centro,Administração Regional 1,,,,idosos (>60),vítimas de violência,,,,,,,,,,,,,,,,,
