tipo do objeto,tipo,nome por extenso,título,nome,importar,código das escolas,endereço,nº,bairro,Distrito,Sub-prefeitura,CeP,município,DDD,telefone,e-mail,Site,CNPJ,Categoria,Fonte,Link,Texto Link,Data,descrição,Palavras-chave,Palavras-chave (Categoria),Palavras-chave (Distrito),Palavras-chave,Palavras-chave,Palavras-chave,público-alvo 1,público-alvo 2,público-alvo 3,público-alvo 4,público-alvo 5,público-alvo 6,público-alvo 7,público-alvo 8,público-alvo 9,público-alvo 10,público-alvo 11
O,Biblioteca,A Biblioteca Rubens Borba Alves de Moraes,,Biblioteca Rubens Borba Alves de Moraes,sim,,Rua Sampei Sato,440,Jardim Matarazzo,Ermelino Matarazzo,Ermelino Matarazzo,03814-000,São Paulo,(11),2943-5255,bmrubensbmoraes@yahoo.com.br,,,Cultura,Secretaria de Cultura,http://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/bibliotecas/fale_conosco/index.php?p=10131,Biblioteca,19/07/2012,"2ª a 6ª feira, das 9h às 18h; sábado, 9h às 16h",Educação e Sustentabilidade,,Ermelino Matarazzo,Biblioteca,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
O,Oficina,A Oficina Cultural Luiz Gonzaga ,,Oficina Cultural Luiz Gonzaga ,sim,,Rua Amadeu Gamberini,259,São Miguel Paulista,São Miguel Paulista,São Miguel Paulista,08010-110,São Paulo,(11),2956-2449,luizgonzaga@oficinasculturais.org.br,http://www.oficinasculturais.org.br/programacao/veRuaphp?idoficina=3,,Cultura,Oficinas Culturais do Estado de São Paulo,www.oficinasculturais.org.br,Oficinas,19/07/2012,de segunda a sexta-feira das 14h às 22h sábado das 14h às 18h,Educação e Sustentabilidade,,São Miguel Paulista,Espaço Cultural,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
O,Fábrica de Cultura,A Fábrica de Cultura Vila Curuçá ,,Fábrica de Cultura Vila Curuçá ,sim,,Rua Pedra Dourada,s/n,Vila Curuçá,Vila Curuçá,Itaim Paulista,08441-030,São Paulo,(11),2016-3316,,http://www.fabricadecultura.org.br/vilaCuruçá/default.asp,,Cultura,Fábricas de Cultura da Secretaria de Cultura do Governo do estado de São Paulo,http://www.fabricasdecultura.sp.gov.br/index.html,Fábricas de Cultura,19/07/2012,"Funciona de 3ª a 6ª feiras das 9h às 20h, aos sábados das 10h às 20h e domingos das 10h às 17h.",Educação e Sustentabilidade,,Vila Curuçá,Espaço Cultural,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
O,Fábrica de Cultura,A Fábrica de Cultura de Itaim Paulista ,,Fábrica de Cultura de Itaim Paulista ,sim,,Rua Estudantes da China,500,Itaim Paulista,Itaim Paulista,Itaim Paulista,08131-220,São Paulo,(11),2025-1991,,http://www.fabricadecultura.org.br/itaimpaulista/default.asp,,Cultura,Fábricas de Cultura da Secretaria de Cultura do Governo do estado de São Paulo,http://www.fabricasdecultura.sp.gov.br/index.html,Fábricas de Cultura,19/07/2012,"Terça a sexta-feira, das 9h às 18h; Sábado e domingo, das 10h às 18h",Educação e Sustentabilidade,,Itaim Paulista,Espaço Cultural,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
O,Casa de Cultura,A Casa de Cultura Itaim Paulista,,Casa de Cultura Itaim Paulista,sim,,Avenida Barão de Alagoas ,340,Itaim Paulista,Itaim Paulista,Itaim Paulista,08120-000,São Paulo,(11),2963-2742/2568-3329,casadeculturaitaim@ig.com.br/casadecultura@itaimpaulista.com.br,http://centroculturalitaimpaulista.blogspot.com.br,,Cultura,,,,,,Educação e Sustentabilidade,,Itaim Paulista,Espaço Cultural,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
O,Casa de Cultura,A Casa de Cultura Antônio Marcos,,Casa de Cultura Antônio Marcos,sim,,Rua Irineu Bonardi,169,Vila Pedroso,São Miguel Paulista,São Miguel Paulista,08011-180,São Paulo,(11),2037-5009/2297-9177,,http://casadeculturaAntôniomarcos.blogspot.com.br/,,Cultura,,,,19/07/2012,,Educação e Sustentabilidade,,São Miguel Paulista,Espaço Cultural,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro São Miguel Paulista,,Telecentro São Miguel Paulista,sim,,Avenida Professor Alípio de Barros,1050,Jardim Maia,Jardim Helena,São Miguel Paulista,08180-000,São Paulo,(11),2586-5456,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Jardim Helena,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Tide Setúbal,,Telecentro Tide Setúbal,sim,,Rua Mario Dallari,170,Vila Americana,,,08021-580,São Paulo,(11),2956-9068,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Artur Alvim,,Telecentro Artur Alvim,sim,,Avenida Padre Estanislau de Campos,385,Conjunto Residencial Padre Manoel da Nóbrega,Artur Alvim,Penha,03590-060,São Paulo,(11),2741-1553,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Artur Alvim,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Cidade Nova São Miguel Paulista,,Telecentro Cidade Nova São Miguel Paulista,sim,,Rua Ida Vanussi Puntel,11,São Miguel Paulista,São Miguel Paulista,São Miguel Paulista,08042-280,São Paulo,(11),2054-0219,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,São Miguel Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro CREN - Vila Jacuí,,Telecentro CREN - Vila Jacuí,sim,,Rua Japichaua,32,Jardim Matarazzo,Ermelino Matarazzo,Ermelino Matarazzo,03813-310,São Paulo,(11),2541-9296,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Ermelino Matarazzo,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Curuçá Velha,,Telecentro Curuçá Velha,sim,,Rua Reverendo Bolivar Bandeira,s/n,Vila Curuçá,Vila Curuçá,Itaim Paulista,08030-195,São Paulo,(11),2585-1651,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Vila Curuçá,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Itaim Paulista,,Telecentro Itaim Paulista,sim,,Rua José Cardoso Pimentel,14,Vila Alabama,,,08110-490,São Paulo,(11),2963-1181,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Acessa Clube de Mães Criança Esperança,,Telecentro Acessa Clube de Mães Criança Esperança,sim,,Rua Minha Cidade,100 / Conj. Encoste Norte,Itaim Paulista,Itaim Paulista,Itaim Paulista,08131-060,São Paulo,(11),2568-4522,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Itaim Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Acessa CRI - Nova Progresso,,Telecentro Acessa CRI - Nova Progresso,sim,,Praça Aleixo Monteiro Mafra,34,São Miguel Paulista,São Miguel Paulista,São Miguel Paulista,08011-010,São Paulo,(11),2030-4044,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,São Miguel Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Acessa Itajuibe,,Telecentro Acessa Itajuibe,sim,,Rua Sérgio Hingst,21,Jardim Nélia,Itaim Paulista,Itaim Paulista,08142-331,São Paulo,,,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Itaim Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Acessa Parque Paulistano,,Telecentro Acessa Parque Paulistano,sim,,Rua Paranacity,1051,Parque Paulistano,São Miguel Paulista,São Miguel Paulista,08080-360,São Paulo,(11),2156-2709,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,São Miguel Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Acessa São Judas Tadeu,,Telecentro Acessa São Judas Tadeu,sim,,Rua Suzana de Melo,364,Vila Progresso,São Miguel Paulista,São Miguel Paulista,08425-160,São Paulo,(11),2051-8717,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,São Miguel Paulista,Telecentro,sem ponto,,Crianças e Adolescentes,Comunidade em geral,,,,,,,,,
R,Telecentro,O Telecentro Acessa Vila Conceição,,Telecentro Acessa Vila Conceição,sim,,Rua Pedra Dourada,5,Vila Conceição,Itaim Paulista,Itaim Paulista,08441-030,São Paulo,(11),3678-0671,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Itaim Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Aqualiprof,,Telecentro Aqualiprof,sim,,Rua Flor de Baile,17,Vila Jacuí,Vila Jacuí,São Miguel Paulista,08061-260,São Paulo,(11),2037-1313,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Vila Jacuí,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Casa de Isabel,,Telecentro Casa de Isabel,sim,,Rua Professor Zeferino Ferraz,338,Itaim Paulista,Itaim Paulista,Itaim Paulista,08120-380,São Paulo,(11),2156-3477,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Itaim Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Cecco Chico Mendes,,Telecentro Cecco Chico Mendes,sim,,Rua Cembira,1201,Vila Curuçá,Vila Curuçá,Itaim Paulista,08032-010,São Paulo,(11),2511-9013,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Vila Curuçá,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Cidade Kemel - Governador André Franco Montoro,,Telecentro Cidade Kemel - Governador André Franco Montoro,sim,,Rua Desembargador Flávio Torres,40,Cidade Kemel,Itaim Paulista,Itaim Paulista,08130-400,São Paulo,(11),2568-5457,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Itaim Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Conjunto Garagem,,Telecentro Conjunto Garagem,sim,,Rua Arraial Santa Bárbara,971,Pedro Nunes,,,08061-360,São Paulo,(11),2214-7239,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Crescer Unidos,,Telecentro Crescer Unidos,sim,,Rua Rio Canguçu,65,Jardim das Oliveiras,Itaim Paulista,Itaim Paulista,08122-160,São Paulo,,,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Itaim Paulista,Telecentro,sem ponto,,Crianças e Adolescentes,Comunidade em geral,,,,,,,,,
R,Telecentro,O Telecentro Dom Angélico/Mulheres do MST,,Telecentro Dom Angélico/Mulheres do MST,sim,,Rua Maria de Nazaré,718,Vila Jacuí,Vila Jacuí,São Miguel Paulista,03812-080,São Paulo,(11),2544-3367,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Vila Jacuí,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Ecoar,,Telecentro Ecoar,sim,,Rua Valdomiro Gonzaga Silva,155,Jardim das Oliveiras,Itaim Paulista,Itaim Paulista,08111-540,São Paulo,,,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Itaim Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Ecoar II,,Telecentro Ecoar II,sim,,Av. Pires do Rio,972,São Miguel Paulista,São Miguel Paulista,São Miguel Paulista,08280-000,São Paulo,,,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,São Miguel Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Itajuíbe,,Telecentro Itajuíbe,sim,,Rua Consuelo Leandro,1525,Jardim Nélia,Itaim Paulista,Itaim Paulista,08142-349,São Paulo,(11),2569-3127,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Itaim Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Jardim das Oliveiras - Sampav II,,Telecentro Jardim das Oliveiras - Sampav II,sim,,Avenida Doutor Almiro Leal da Costa ,456,Jardim das Oliveiras,Itaim Paulista,Itaim Paulista,08122-260,São Paulo,(11),2561-3859,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,Itaim Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
R,Telecentro,O Telecentro Jardim Lapena,,Telecentro Jardim Lapena,sim,,Rua Serra da Juruoca,36,Jardim Lapena,São Miguel Paulista,São Miguel Paulista,08071-180,São Paulo,(11),2031-0625,,www.telecentros.sp.gov.br,,Educação ,Portal da Prefeitura Municipal de São Paulo,www.telecentros.sp.gov.br,Telecentros de São Paulo,19/07/2012,,Educação e Sustentabilidade,Inclusão Digital,São Miguel Paulista,Telecentro,sem ponto,,crianças (0-3),crianças (4-6),crianças (7-12),adolescentes (13-17),jovens (18-25),adultos (26-59),idosos (>60),famílias,comunidade em geral,moradores,
